epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,22903.7,1.13741,0.5306,0.94871,0.8227,0.52658,0.59777,0.35478,1.16062,0.48453,0.95631,0.002773,0.002773,0.002773
75,23211.1,1.14466,0.53273,0.95003,0.82196,0.52692,0.59817,0.35512,1.16029,0.48421,0.95631,0.002674,0.002674,0.002674
76,23517.6,1.13458,0.53014,0.94551,0.82193,0.52724,0.59838,0.3554,1.15976,0.48377,0.95609,0.002575,0.002575,0.002575
77,23825.4,1.1361,0.52757,0.94548,0.82257,0.52741,0.59879,0.35561,1.15952,0.48335,0.95591,0.002476,0.002476,0.002476
78,24132.1,1.12979,0.52247,0.94527,0.82243,0.52783,0.59913,0.35588,1.15934,0.48281,0.95577,0.002377,0.002377,0.002377
79,24439.9,1.12912,0.52137,0.9421,0.82364,0.52792,0.59955,0.35615,1.15901,0.48228,0.95557,0.002278,0.002278,0.002278
80,24747.6,1.13038,0.52326,0.94704,0.82278,0.52858,0.60017,0.35653,1.15867,0.48175,0.95545,0.002179,0.002179,0.002179
81,25053.2,1.12569,0.51978,0.94409,0.82356,0.5286,0.60048,0.35679,1.15843,0.48147,0.9553,0.00208,0.00208,0.00208
82,25360.1,1.12307,0.51921,0.94309,0.82467,0.52871,0.60107,0.35699,1.15811,0.48101,0.95514,0.001981,0.001981,0.001981
83,25666.4,1.11691,0.51315,0.94058,0.82524,0.52902,0.60137,0.35727,1.15781,0.48051,0.95501,0.001882,0.001882,0.001882
84,25972.6,1.11599,0.51335,0.93934,0.82565,0.52958,0.602,0.35769,1.15742,0.47985,0.95473,0.001783,0.001783,0.001783
85,26279.6,1.11348,0.51128,0.9384,0.82506,0.52986,0.60223,0.3579,1.15707,0.47953,0.95449,0.001684,0.001684,0.001684
